_ID,_ID_Template,_ID_Vehicle,actioned_Email,actioned_Print,actioned_SMS,actionedDate_Email,actionedDate_Print,actionedDate_SMS,DueDate,method_Email,method_Print,method_SMS,Reschedule
"F37BDED46D562D478666A3974BFF01D4","0526AF6DAB24764B942E0E0F1000EED0","E6D2336ADD8D9D488792465F612D2D0A","0","1","0","","16/10/2019","","06/11/2019","0","1","0","0"
"FAE4BCC9C052DE40BBFA2E13D2E88F5D","0526AF6DAB24764B942E0E0F1000EED0","F4E3106FFE121240B03C0A39EE9338F9","0","1","0","","27/03/2019","","19/04/2019","0","1","0","0"
"39C39D2FF51FB9478838FBF34BFC51AB","30DE5E6B652872449B324DCFE37B1A0B","F4E3106FFE121240B03C0A39EE9338F9","0","1","0","","01/04/2018","","19/04/2018","0","1","0","0"
"FB3C60239A422641ADFD286795E8F307","30DE5E6B652872449B324DCFE37B1A0B","CF8F9227ACFF35448E5DC2D9B7210B6A","0","1","0","","27/06/2019","","17/07/2019","0","1","0","0"
"CA619221D85F574084BF026FA41E1428","0526AF6DAB24764B942E0E0F1000EED0","582571991A692640913A8888C15E1A94","0","1","0","","20/01/2019","","07/02/2019","0","1","0","0"
"42484653D724314D99363E57057AC824","30DE5E6B652872449B324DCFE37B1A0B","582571991A692640913A8888C15E1A94","0","0","0","","16/08/2013","","11/09/2013","0","1","0","0"
"52FAE77AD2FB4A48BAA4B6CAC1F0B770","0526AF6DAB24764B942E0E0F1000EED0","A26380C4907A494DB6C52F07B590FC8A","0","0","0","","14/12/2012","","11/01/2013","0","1","0","0"
"B0A5B9036308E849AE29290838CC3DAE","0526AF6DAB24764B942E0E0F1000EED0","E893A356B2950B42AE71822D150C39A2","0","1","0","","19/09/2015","","02/10/2015","0","1","0","0"
"019E83F369D67F4C807857A75DAA5E56","30DE5E6B652872449B324DCFE37B1A0B","E893A356B2950B42AE71822D150C39A2","0","1","0","","19/09/2015","","02/10/2015","0","1","0","0"
"8842A2DF6E9E764782A27C34FE03F1C4","0526AF6DAB24764B942E0E0F1000EED0","12093CAD2819484EBA955D2C5A003350","0","1","0","","03/07/2019","","24/07/2019","0","1","0","0"
"796DDD63767CF74A9877D8758BDE5A19","30DE5E6B652872449B324DCFE37B1A0B","12093CAD2819484EBA955D2C5A003350","0","1","0","","08/07/2018","","25/07/2018","0","1","0","0"
"4E9F09F8B1C363458DC3C84FE7F83B81","30DE5E6B652872449B324DCFE37B1A0B","20FB0B8E18DF9945AA7A150300BE7D26","0","0","0","","23/11/2012","","21/12/2012","0","1","0","0"
"57CEFC6A3CE39A429793B929640AE7A8","0526AF6DAB24764B942E0E0F1000EED0","F6D14A1897AD6543A49D17D191653CE4","0","0","0","","10/01/2014","","03/02/2014","0","1","0","0"
"CF1CECA09371334393318CE8C5ECF8AE","0526AF6DAB24764B942E0E0F1000EED0","BA3DE7CFA4AE6740A3BD3BF3C9C37CC9","0","1","0","","27/02/2016","","16/03/2016","0","1","0","0"
"EE19F2669DB4984D81BDE07DDA454E54","30DE5E6B652872449B324DCFE37B1A0B","BA3DE7CFA4AE6740A3BD3BF3C9C37CC9","0","1","0","","14/03/2014","","27/03/2014","0","1","0","0"
"E7D217266291434CA31948B6AD00FDB8","0526AF6DAB24764B942E0E0F1000EED0","BED9096A2DF2D7469D86A69D55950EB8","0","0","0","","15/02/2013","","17/03/2013","0","1","0","0"
"9F62B3CE2C8AC648A581AA2EB221CF63","0526AF6DAB24764B942E0E0F1000EED0","DA1A28B41F21D84CB20BF4561A955ADE","0","1","0","","20/08/2016","","10/09/2016","0","1","0","0"
"5AB2E5FF9F8A4C4C80DFE2E24B8E4319","30DE5E6B652872449B324DCFE37B1A0B","DA1A28B41F21D84CB20BF4561A955ADE","0","1","0","","29/08/2015","","09/09/2015","0","1","0","0"
"3461E5561DD1844C99B0930032096123","D00D925A2B89234D9D074F10FF881E92","DA1A28B41F21D84CB20BF4561A955ADE","0","1","0","","08/03/2013","","05/04/2013","0","1","0","0"
"AC61A046B8636A4F85801F0E382790CD","0526AF6DAB24764B942E0E0F1000EED0","B3233EDC60E9AE4C80AA981DC19AF3C7","0","1","0","","04/05/2015","","14/05/2015","0","1","0","0"
"D46F16F76D844049BD8BDCCFDC53E72F","30DE5E6B652872449B324DCFE37B1A0B","B3233EDC60E9AE4C80AA981DC19AF3C7","0","1","0","","01/08/2014","","14/08/2014","0","1","0","0"
"E795929B14748849AF6E61437099BC47","0526AF6DAB24764B942E0E0F1000EED0","6CB00FF620BAAE47BB16EC48730AD8B4","0","1","0","","31/12/2014","","14/01/2015","0","1","0","0"
"042838FE7B310E44842B8E077F0D4F2B","0526AF6DAB24764B942E0E0F1000EED0","874C790CFD5E1744B73DBD71E3EC9816","0","0","0","","24/09/2012","","18/10/2012","0","1","0","0"
"E657D555D130244DAE3C4CB72E4409A5","30DE5E6B652872449B324DCFE37B1A0B","874C790CFD5E1744B73DBD71E3EC9816","0","0","0","","15/02/2013","","15/03/2013","0","1","0","0"
"584DB2DE6B86F240B1716419D46928CD","0526AF6DAB24764B942E0E0F1000EED0","8E752C251007344EB6920144F62F3FB6","0","1","0","","28/02/2019","","21/03/2019","0","1","0","0"
"08B33DE2079A9247868BD15B26F7397A","0526AF6DAB24764B942E0E0F1000EED0","3A1CD350FDD34B43B616A273C29F4701","0","1","0","","14/11/2019","","03/12/2019","0","1","0","0"
"5027ED9BFFD31F41B8C128844E5C933E","30DE5E6B652872449B324DCFE37B1A0B","3A1CD350FDD34B43B616A273C29F4701","0","1","0","","05/06/2019","","28/06/2019","0","1","0","0"
"11AD073C9F1D40419FDB94C2E99BB3CA","0526AF6DAB24764B942E0E0F1000EED0","0378C7BD192DE74BA82A7435C4F2944D","0","0","0","","15/02/2013","","14/03/2013","0","1","0","0"
"5FC7CF46BCEB324AB87E2A526B277023","30DE5E6B652872449B324DCFE37B1A0B","553E5BF5207CCF4EB5AAD15A0CCB8F20","0","0","0","","15/02/2013","","14/03/2013","0","1","0","0"
"4429C08B29FB6C45BF3C9D652C7FA2BC","0526AF6DAB24764B942E0E0F1000EED0","2D5FA17AA8D20943AEEEDDBEC207332D","0","1","0","","08/08/2015","","17/08/2015","0","1","0","0"
"FBF61F9EAB4DD747B30049D064F6A771","30DE5E6B652872449B324DCFE37B1A0B","2D5FA17AA8D20943AEEEDDBEC207332D","0","1","0","","08/08/2015","","17/08/2015","0","1","0","0"
"9FADAD44865AB24C97DCD283D8732D87","0526AF6DAB24764B942E0E0F1000EED0","81D9552A6892524AAB8E633E2F7A690F","0","1","0","","22/05/2019","","11/06/2019","0","1","0","0"
"FFF872231D2C5B4F86E95353A2F27ED2","30DE5E6B652872449B324DCFE37B1A0B","81D9552A6892524AAB8E633E2F7A690F","0","1","0","","27/05/2018","","11/06/2018","0","1","0","0"
"3ECFB21FEDD2644190FC2A57AA4A89AB","0526AF6DAB24764B942E0E0F1000EED0","8C67555BBA6CDC4BB9FAACFB1B1602BB","0","1","0","","12/03/2016","","29/03/2016","0","1","0","0"
"00F37A3C248A544387FC9BF66A9CC29F","30DE5E6B652872449B324DCFE37B1A0B","8C67555BBA6CDC4BB9FAACFB1B1602BB","0","1","0","","12/03/2016","","29/03/2016","0","1","0","0"
"21C24D22FEF32B4C9765E10A1B493E4A","0526AF6DAB24764B942E0E0F1000EED0","EF8B032F8460F2478A09D842F5A5141A","0","1","0","","17/10/2015","","26/10/2015","0","1","0","0"
"75CB6F875D88F447A9FD81E254D0316F","30DE5E6B652872449B324DCFE37B1A0B","EF8B032F8460F2478A09D842F5A5141A","0","1","0","","17/10/2015","","26/10/2015","0","1","0","0"
"31C6899CFD6DB24E9BC608D7CDB8E461","0526AF6DAB24764B942E0E0F1000EED0","0076B83250197B44A6862AE6B3A682E3","0","1","0","","15/08/2015","","27/08/2015","0","1","0","0"
"F32B12D918382044BF4E1534BE988EC9","30DE5E6B652872449B324DCFE37B1A0B","0076B83250197B44A6862AE6B3A682E3","0","1","0","","31/01/2016","","17/02/2016","0","1","0","0"
"326EC3785543F448B92F341D3F1ECED7","D00D925A2B89234D9D074F10FF881E92","0076B83250197B44A6862AE6B3A682E3","0","1","0","","20/06/2019","","23/07/2019","0","1","0","0"
"1CA10333C25D854D8E92E7B92D6FB873","0526AF6DAB24764B942E0E0F1000EED0","1BFC970E94354A4CAAC907886CF47CCD","0","1","0","","13/02/2019","","04/03/2019","0","1","0","0"
"70618B24D6CE8A49A64BD7C455FB11CA","30DE5E6B652872449B324DCFE37B1A0B","1BFC970E94354A4CAAC907886CF47CCD","0","1","0","","14/02/2019","","04/03/2019","0","1","0","0"
"A458979A615A4A459EF77652343DF10B","0526AF6DAB24764B942E0E0F1000EED0","6D24994A0D60344FA775C9DB3277D1EA","0","0","0","","22/02/2013","","18/03/2013","0","1","0","0"
"C5EA475E41E7C4469201F0C8C5F6C8D3","0526AF6DAB24764B942E0E0F1000EED0","BB4324CA02D9D84991EEB9DF94C30321","0","0","0","","10/01/2014","","06/02/2014","0","1","0","0"
"5EEBE426F13D5A4F9F6ABB2D3D900960","0526AF6DAB24764B942E0E0F1000EED0","42B1BD8EE298124886622C54B0168631","0","0","0","","15/02/2013","","15/03/2013","0","1","0","0"
"A8C2C45DCAC88440BA8B10F4B337B941","0526AF6DAB24764B942E0E0F1000EED0","D52F4189ECE5CC4BB71A7AE2524C6469","0","1","0","","11/10/2014","","24/10/2014","0","1","0","0"
"04791E4363A22A4CBAACBFE48E898131","30DE5E6B652872449B324DCFE37B1A0B","D52F4189ECE5CC4BB71A7AE2524C6469","0","1","0","","11/10/2014","","24/10/2014","0","1","0","0"
"E2CE9C13E6651C4AA4008732DF6CF7F3","0526AF6DAB24764B942E0E0F1000EED0","3C3A266231794240B37453B620D59E33","0","0","0","","01/03/2013","","29/03/2013","0","1","0","0"
"B15E7BB528DC5143A557EE6F7C43B4BF","0526AF6DAB24764B942E0E0F1000EED0","3E70332822C1074B91A09BB17796B6DD","0","0","0","","15/02/2013","","15/03/2013","0","1","0","0"
"9FDA7F5485BC884E8E430CBD3E50278B","0526AF6DAB24764B942E0E0F1000EED0","39E0C1C36894C54BB3C01F8F198AE15B","0","0","0","","15/02/2013","","15/03/2013","0","1","0","0"
"D378DBB75DBE1D4C85D54366D7EFE04F","30DE5E6B652872449B324DCFE37B1A0B","39E0C1C36894C54BB3C01F8F198AE15B","0","0","0","","25/01/2013","","23/02/2013","0","1","0","0"
"E6F2130372BEFD41A4273E0A034AE3C4","0526AF6DAB24764B942E0E0F1000EED0","74713D282953C8479A0C542C23BA156A","0","0","1","","","06/08/2017","27/08/2017","0","0","1","0"
"71551C58104FF44EAEE91B6725B682EE","30DE5E6B652872449B324DCFE37B1A0B","74713D282953C8479A0C542C23BA156A","0","0","1","","","06/08/2017","27/08/2017","0","0","1","0"
"9C807A2AEABCAE4E9AEFD0E0AB9F8867","0526AF6DAB24764B942E0E0F1000EED0","39E97489C0434F41A9CE703A8A44DE69","0","1","0","","07/03/2014","","15/03/2014","0","1","0","0"
"BE3B9729BF78ED4F9DD4F7FF4118F0EC","0526AF6DAB24764B942E0E0F1000EED0","6FDABA84DBE9F54FA3E5DE25D62796E8","0","1","0","","09/04/2016","","29/04/2016","0","1","0","0"
"8447ED241AFB2D4A926A74E2BF5EB4D4","30DE5E6B652872449B324DCFE37B1A0B","6FDABA84DBE9F54FA3E5DE25D62796E8","0","1","0","","18/04/2015","","30/04/2015","0","1","0","0"
"2CE152917CAB0049A731BA93AE67804C","0526AF6DAB24764B942E0E0F1000EED0","109026428F86D14488E97E3505E168BC","0","1","0","","07/03/2019","","30/03/2019","0","1","0","0"
"03CEB030670EB946A6E781AE8E1FC61B","30DE5E6B652872449B324DCFE37B1A0B","109026428F86D14488E97E3505E168BC","0","1","0","","07/03/2015","","16/03/2015","0","1","0","0"
"0D656C3689169147AB12506AF4B94BF2","0526AF6DAB24764B942E0E0F1000EED0","B7625EA3D16EFC48B05F9EB130B98427","0","1","0","","07/03/2014","","16/03/2014","0","1","0","0"
"3632244B0BC9844281AE416BBD0D0361","30DE5E6B652872449B324DCFE37B1A0B","B7625EA3D16EFC48B05F9EB130B98427","0","1","0","","21/02/2014","","20/02/2014","0","1","0","0"
"D8A87DD9752FE341B1EA821911E98669","0526AF6DAB24764B942E0E0F1000EED0","AF33CC2AF075044DA1B1A2A3557DF844","0","1","0","","09/01/2015","","17/01/2015","0","1","0","0"
"CD8D792C87FE0C4F9AE2552A2A615293","0526AF6DAB24764B942E0E0F1000EED0","F02F7ED79B031D4CAB6EA59757A92F19","0","0","0","","15/02/2013","","16/03/2013","0","1","0","0"
"A6003CB22F60FF42A5D281CD31C46FC8","0526AF6DAB24764B942E0E0F1000EED0","3EB3FDBA13D14C499CEC947AA959DA89","1","1","0","12/03/2019","12/03/2019","","03/04/2019","1","1","0","0"
"9BB9118035CB3040A15A0CB06D5E2F39","30DE5E6B652872449B324DCFE37B1A0B","3EB3FDBA13D14C499CEC947AA959DA89","1","1","0","12/03/2019","12/03/2019","","03/04/2019","1","1","0","0"
"4CB6B158D6108A429FBA11069105BDA5","0526AF6DAB24764B942E0E0F1000EED0","650570186FDDA247B20368EA6A405001","0","1","0","","25/07/2019","","20/08/2019","0","1","0","0"
