_ID,_ID_AccountPayment,_ID_Document,Amount,Date,Description,Method,Reconciled,Reconciled_Date,Reconciled_Ref,sageExported,sageExported_date,SurchargeApplied,SurchargeGROSS,SurchargeNET,SurchargeTAX,TotalReceipt
"003F35FBF43C9A4499040F0D390DA97B","","GZLM884LRLRJOIQC74JTT8","857.82","12/04/2011","Card","Card","1","28/06/2016","001","1","30/12/2024","0","","","","857.82"
"11E22D0CBEEEDA4A9B79BB13FE953F10","","OOTOSBT1OQQKAMEGEJOV","64.93","23/06/2011","Reference Transaction Not Available","Credit Note","1","","","0","","0","0","0","0","64.93"
"C7C1A389ECC709499334E4E2572BB164","","OOTOSBT1OR6UHDOZ5EM4","682.17","07/04/2011","Cheque","Cheque","1","28/06/2016","001","1","30/12/2024","0","0","0","0","682.17"
"1B0AE9189FD08046B04D5411F447C7F4","","OOTOSBT1OR6UXYWLVIDF","92.4","14/03/2011","Cash Payment","Cash","1","28/06/2016","001","1","30/12/2024","0","0","0","0","92.4"
"7CF9EE434386754F80C03DDE96481A12","","OOTOSBT1OR6UZ8UFAMJK","663.6","22/03/2011","Card","Card","1","28/06/2016","001","1","30/12/2024","0","","","","663.6"
"E3F4A4A6011ADF4E81610E7C0C6B882C","","OOTOSBT1OR6V0IS8POQO","66","22/03/2011","Card","Card","1","28/06/2016","001","1","30/12/2024","0","","","","66"
"788700750CE4DA418502E20A70994002","","OOTOSBT1OR6V1SQ24QVV","272.23","22/03/2011","Card","Card","1","28/06/2016","001","1","30/12/2024","0","","","","272.23"
"BF8AAE5B2538074DA08D51E01D689373","","OOTOSBT1OR6V32NVJVTR","373.41","22/03/2011","Card","Card","1","28/06/2016","001","1","30/12/2024","0","","","","373.41"
"426281D30827594B80D5CA935C78128D","","OOTOSBT1OR6V4CLOYY5J","40","22/03/2011","Cash Payment","Cash","1","28/06/2016","001","1","30/12/2024","0","0","0","0","40"
"85649D49B918CF4DAD36DD67B7B351DC","","OOTOSBT1OR6V5MJIE0CC","109","22/03/2011","Cheque","Cheque","1","28/06/2016","001","1","30/12/2024","0","0","0","0","109"
